id,year,method,TFR
4,1950,Projection,7.24843
4,1951,Projection,7.259633
4,1952,Projection,7.260109
4,1953,Projection,7.266187
4,1954,Projection,7.254238
4,1955,Projection,7.262136
4,1956,Projection,7.268757
4,1957,Projection,7.263566
4,1958,Projection,7.269091
4,1959,Projection,7.275859
4,1960,Projection,7.281698
4,1961,Projection,7.284152
4,1962,Projection,7.291826
4,1963,Projection,7.301579
4,1964,Interpolation,7.304288
4,1965,Interpolation,7.305253
4,1966,Interpolation,7.320306
4,1967,Interpolation,7.33868
4,1968,Interpolation,7.362774
4,1969,Interpolation,7.38866
4,1970,Interpolation,7.399593
4,1971,Interpolation,7.432019
4,1972,Interpolation,7.453136
4,1973,Interpolation,7.486833
4,1974,Interpolation,7.525839
4,1975,Interpolation,7.542023
4,1976,Interpolation,7.561329
4,1977,Interpolation,7.591287
4,1978,Interpolation,7.599297
4,1979,Interpolation,7.612324
4,1980,Interpolation,7.643172
4,1981,Interpolation,7.617175
4,1982,Interpolation,7.599975
4,1983,Interpolation,7.570486
4,1984,Interpolation,7.554009
4,1985,Interpolation,7.549833
4,1986,Interpolation,7.552878
4,1987,Interpolation,7.547746
4,1988,Interpolation,7.55099
4,1989,Interpolation,7.558803
4,1990,Interpolation,7.575834
4,1991,Interpolation,7.631177
4,1992,Interpolation,7.703147
4,1993,Interpolation,7.761403
4,1994,Interpolation,7.767028
4,1995,Interpolation,7.767096
4,1996,Interpolation,7.757152
4,1997,Interpolation,7.732138
4,1998,Interpolation,7.693239
4,1999,Interpolation,7.641126
4,2000,Interpolation,7.566123
4,2001,Interpolation,7.452625
4,2002,Interpolation,7.320261
4,2003,Interpolation,7.173519
4,2004,Interpolation,7.017969
4,2005,Interpolation,6.857509
4,2006,Interpolation,6.686027
4,2007,Interpolation,6.508013
4,2008,Interpolation,6.391583
4,2009,Interpolation,6.294852
4,2010,Interpolation,6.194993
4,2011,Interpolation,6.093963
4,2012,Interpolation,5.984534
4,2013,Interpolation,5.879455
4,2014,Interpolation,5.769613
4,2015,Interpolation,5.652329
4,2016,Interpolation,5.541736
4,2017,Interpolation,5.432575
4,2018,Interpolation,5.32748
4,2019,Interpolation,5.23835
4,2020,Interpolation,5.145293
4,2021,Interpolation,5.039119
4,2022,Interpolation,4.931665
4,2023,Interpolation,4.840319
8,1950,Interpolation,6.168563
8,1951,Interpolation,6.198196
8,1952,Interpolation,6.239004
8,1953,Interpolation,6.341043
8,1954,Interpolation,6.431625
8,1955,Interpolation,6.540672
8,1956,Interpolation,6.437145
8,1957,Interpolation,6.33439
8,1958,Interpolation,6.390947
8,1959,Interpolation,6.396816
8,1960,Interpolation,6.383448
8,1961,Interpolation,6.272963
8,1962,Interpolation,6.10565
8,1963,Interpolation,5.926648
8,1964,Interpolation,5.714183
8,1965,Interpolation,5.473758
8,1966,Interpolation,5.325163
8,1967,Interpolation,5.310124
8,1968,Interpolation,5.31664
8,1969,Interpolation,5.287375
8,1970,Interpolation,5.158334
8,1971,Interpolation,5.083087
8,1972,Interpolation,4.979343
8,1973,Interpolation,4.829234
8,1974,Interpolation,4.699991
8,1975,Interpolation,4.565728
8,1976,Interpolation,4.374304
8,1977,Interpolation,4.204475
8,1978,Interpolation,3.996235
8,1979,Interpolation,3.781999
8,1980,Interpolation,3.590331
8,1981,Interpolation,3.468303
8,1982,Interpolation,3.415858
8,1983,Interpolation,3.318761
8,1984,Interpolation,3.281954
8,1985,Interpolation,3.214075
8,1986,Interpolation,3.140651
8,1987,Interpolation,3.105627
8,1988,Interpolation,3.068935
8,1989,Interpolation,3.030317
8,1990,Interpolation,3.013695
8,1991,Interpolation,2.95638
8,1992,Interpolation,2.885295
8,1993,Interpolation,2.811334
8,1994,Interpolation,2.798238
8,1995,Interpolation,2.762176
8,1996,Interpolation,2.666467
8,1997,Interpolation,2.534789
8,1998,Interpolation,2.424969
8,1999,Interpolation,2.31343
8,2000,Interpolation,2.216935
8,2001,Interpolation,2.141323
8,2002,Interpolation,2.001626
8,2003,Interpolation,2.006323
8,2004,Interpolation,1.889406
8,2005,Interpolation,1.786821
8,2006,Interpolation,1.686403
8,2007,Interpolation,1.632996
8,2008,Interpolation,1.616441
8,2009,Interpolation,1.637562
8,2010,Interpolation,1.65291
8,2011,Interpolation,1.676746
8,2012,Interpolation,1.718664
8,2013,Interpolation,1.741141
8,2014,Interpolation,1.720879
8,2015,Interpolation,1.631146
8,2016,Interpolation,1.555487
8,2017,Interpolation,1.485796
8,2018,Interpolation,1.415169
8,2019,Interpolation,1.3953
8,2020,Interpolation,1.370676
8,2021,Interpolation,1.365146
8,2022,Projection,1.355302
8,2023,Projection,1.34794
12,1950,Projection,7.324283
12,1951,Interpolation,7.306645
12,1952,Interpolation,7.289405
12,1953,Interpolation,7.291272
12,1954,Interpolation,7.311057
12,1955,Interpolation,7.336354
12,1956,Interpolation,7.358284
12,1957,Interpolation,7.386414
12,1958,Interpolation,7.437793
12,1959,Interpolation,7.453914
12,1960,Interpolation,7.502617
12,1961,Interpolation,7.563501
12,1962,Interpolation,7.606694
12,1963,Interpolation,7.649319
12,1964,Interpolation,7.671968
12,1965,Interpolation,7.710536
12,1966,Interpolation,7.709578
12,1967,Interpolation,7.71184
12,1968,Interpolation,7.711442
12,1969,Interpolation,7.708731
12,1970,Interpolation,7.704282
12,1971,Interpolation,7.671399
12,1972,Interpolation,7.634361
12,1973,Interpolation,7.592337
12,1974,Interpolation,7.544738
12,1975,Interpolation,7.484798
12,1976,Interpolation,7.404727
12,1977,Interpolation,7.312394
12,1978,Interpolation,7.211026
12,1979,Interpolation,7.119014
12,1980,Interpolation,6.994467
12,1981,Interpolation,6.845083
12,1982,Interpolation,6.674667
12,1983,Interpolation,6.495783
