id,year,y_hat_low,y_hat_50,y_hat_upp,model
4,2022,4.523,4.931665,4.523,WPP
4,2023,3.984,4.840319,5.703,WPP
4,2024,3.827,4.760599,5.67,WPP
4,2025,3.676,4.659179,5.624,WPP
4,2026,3.544,4.562184,5.585,WPP
4,2027,3.388,4.484432,5.518,WPP
4,2028,3.257,4.40376,5.465,WPP
4,2029,3.108,4.302478,5.445,WPP
4,2030,3.006,4.223132,5.42,WPP
4,2031,2.905,4.147553,5.389,WPP
4,2032,2.768,4.072545,5.305,WPP
4,2033,2.65,4.001866,5.236,WPP
4,2034,2.572,3.949348,5.204,WPP
4,2035,2.479,3.88637,5.161,WPP
4,2036,2.38,3.824242,5.162,WPP
8,2023,1.128,1.34794,1.586,WPP
8,2024,1.07,1.340634,1.615,WPP
8,2025,1.024,1.329785,1.634,WPP
8,2026,0.986,1.322774,1.652,WPP
8,2027,0.969,1.321732,1.655,WPP
8,2028,0.944,1.321174,1.676,WPP
8,2029,0.909,1.322779,1.689,WPP
8,2030,0.906,1.324472,1.707,WPP
8,2031,0.885,1.328771,1.725,WPP
8,2032,0.883,1.333005,1.746,WPP
8,2033,0.858,1.338186,1.759,WPP
8,2034,0.84,1.341335,1.756,WPP
8,2035,0.87,1.346825,1.775,WPP
8,2036,0.84,1.351596,1.782,WPP
8,2037,0.855,1.354929,1.793,WPP
12,2021,2.889,2.869799,2.889,WPP
12,2022,2.829,2.817352,2.829,WPP
12,2023,2.384,2.766178,3.195,WPP
12,2024,2.283,2.722546,3.179,WPP
12,2025,2.197,2.670179,3.163,WPP
12,2026,2.091,2.622551,3.153,WPP
12,2027,2.014,2.57643,3.139,WPP
12,2028,1.955,2.533599,3.126,WPP
12,2029,1.904,2.493218,3.125,WPP
12,2030,1.846,2.454287,3.095,WPP
12,2031,1.794,2.414842,3.086,WPP
12,2032,1.725,2.377611,3.058,WPP
12,2033,1.662,2.344847,3.043,WPP
12,2034,1.651,2.316565,3.032,WPP
